region,age_group,gender,population,smokers,quitters,never_smokers
Mid-West,0-14,Male,49841.0,0.0,0.008085712565959751,0.8876627676009711
Mid-West,15-19,Female,16410.0,0.051188299817184646,0.026264472882388788,0.8539305301645338
Mid-West,15-19,Male,17295.0,0.06880601329864122,0.030355594102341718,0.831627638045678
Mid-West,20-24,Female,14385.0,0.17128953771289537,0.06847410497045534,0.6752172401807438
Mid-West,20-24,Male,15020.0,0.23541944074567245,0.07410119840213049,0.609387483355526
Mid-West,25-29,Female,13168.0,0.20785236938031593,0.12234204131227218,0.5857381530984204
Mid-West,25-29,Male,13232.0,0.28665356711003626,0.12401753325272068,0.4972037484885127
Mid-West,30-34,Female,14875.0,0.18568067226890755,0.18023529411764705,0.5390252100840336
Mid-West,30-34,Male,13983.0,0.27411857255238503,0.16441393120217407,0.4584853035829221
Mid-West,35-39,Female,18282.0,0.18132589432228421,0.23099223279728695,0.49556941253692155
Mid-West,35-39,Male,16598.0,0.2550307265935655,0.21177250271117,0.4306542956982769
Mid-West,40-44,Female,19700.0,0.1666497461928934,0.2543654822335025,0.49441624365482234
Mid-West,40-44,Male,18654.0,0.22279403881205104,0.2468639433901576,0.4377613380508202
Mid-West,45-49,Female,18275.0,0.15945280437756498,0.27004103967168264,0.5018331053351573
Mid-West,45-49,Male,18253.0,0.2094450227359886,0.27940612502054457,0.4322029255464855
Mid-West,50-54,Female,16984.0,0.16262364578426755,0.2787918040508714,0.4950541686292982
Mid-West,50-54,Male,17132.0,0.20196124212000935,0.30807844968480036,0.41787298622460894
Mid-West,55-59,Female,15924.0,0.16314996232102486,0.2774428535543833,0.5015699572971615
Mid-West,55-59,Male,15915.0,0.1733584668551681,0.3205152371976123,0.44115614200439834
Mid-West,60-64,Female,14417.0,0.15620448082125268,0.304432267462024,0.48130679059443715
Mid-West,60-64,Male,14508.0,0.15949820788530467,0.34946236559139787,0.427488282326992
Mid-West,65-69,Female,12794.0,0.1280287634828826,0.31811786775050804,0.4972643426606222
Mid-West,65-69,Male,13109.0,0.12975818140209017,0.39186818216492486,0.4174994278739797
Mid-West,70-74,Female,11333.0,0.10756198711726815,0.30089120268243186,0.5318979969999118
Mid-West,70-74,Male,11117.0,0.10407484033462265,0.4270936403706036,0.4117117927498426
Mid-West,75-79,Female,8857.0,0.08456588009484024,0.30518234165067176,0.5512024387490121
Mid-West,75-79,Male,8179.0,0.08179484044504218,0.4547010636997188,0.4039613644699841
Midland,0-14,Female,32470.0,0.0,0.004619648906683092,0.8943332306744688
Midland,0-14,Male,34331.0,0.0,0.0055926130902100146,0.8939442486382569
Midland,15-19,Female,10632.0,0.05107223476297968,0.027934537246049662,0.8543077501881113
Midland,15-19,Male,11469.0,0.07559508239602407,0.03295840962594821,0.8221292178917081
Midland,20-24,Female,8366.0,0.16841979440592875,0.06849151326798948,0.674635429117858
Midland,20-24,Male,9097.0,0.2482136968231285,0.07716829724084863,0.5778828185115973
Midland,25-29,Female,7991.0,0.21624327368289326,0.1361531723188587,0.5602552871980978
Midland,25-29,Male,8026.0,0.31074009469225017,0.1204834288562173,0.46860204335908295
Midland,30-34,Female,9749.0,0.2115088727048928,0.1810442096625295,0.523233152118166
Midland,30-34,Male,9066.0,0.2833664240017648,0.16666666666666666,0.43834105448930066
Midland,35-39,Female,12353.0,0.18780862948271676,0.23581316279446288,0.5012547559297337
Midland,35-39,Male,11375.0,0.2602197802197802,0.21160439560439562,0.43542857142857144
Midland,40-44,Female,13107.0,0.1718928816662852,0.24505989166094452,0.5185778591592279
