Statistic Label,Census Year,Sex,Smoking Tobacco Products,Age Group,County,UNIT,VALUE
Population,2022,Both Sexes,Smoke daily,70-74 years,Offaly,Number,280.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Offaly,Number,188.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Offaly,Number,78.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Offaly,Number,41.0
Population,2022,Both Sexes,Smoke daily,95 years and over,Offaly,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,Westmeath,Number,9322.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Westmeath,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Westmeath,Number,202.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Westmeath,Number,629.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Westmeath,Number,864.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Westmeath,Number,908.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Westmeath,Number,1055.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Westmeath,Number,1062.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Westmeath,Number,964.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Westmeath,Number,972.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Westmeath,Number,834.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Westmeath,Number,687.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Westmeath,Number,491.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Westmeath,Number,330.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Westmeath,Number,174.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Westmeath,Number,90.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Westmeath,Number,48.0
Population,2022,Both Sexes,Smoke daily,95 years and over,Westmeath,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,Wexford,Number,17014.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Wexford,Number,29.0
Population,2022,Both Sexes,Smoke daily,15-19 years,Wexford,Number,303.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Wexford,Number,1158.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Wexford,Number,1434.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Wexford,Number,1667.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Wexford,Number,1860.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Wexford,Number,2024.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Wexford,Number,1749.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Wexford,Number,1772.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Wexford,Number,1568.0
