smoking_status,sex,attained_age_group,broad_age_group,history_variable,n_unweighted,weighted_n,mean,sd,p05,p25,p50,p75,p95,minimum,maximum,weighting_status,fallback_level
former,female,all,70-80,age_at_initiation,10,10.000000,17.000000,3.559026,10.900000,16.000000,18.000000,20.000000,20.000000,10.000000,20.000000,unweighted_equal_weights,sex_broad_status
former,female,all,70-80,age_at_stopping,10,10.000000,48.100000,11.464438,30.900000,39.000000,52.000000,56.750000,60.000000,30.000000,60.000000,unweighted_equal_weights,sex_broad_status
former,female,all,70-80,years_since_quitting,10,10.000000,25.300000,12.018966,11.800000,17.000000,22.500000,32.000000,44.200000,10.000000,46.000000,unweighted_equal_weights,sex_broad_status
former,female,all,70-80,cigarettes_per_day,10,10.000000,17.600000,9.057839,7.800000,15.000000,15.000000,20.000000,31.000000,6.000000,40.000000,unweighted_equal_weights,sex_broad_status
former,female,all,70-80,smoking_duration,10,10.000000,31.100000,13.819873,10.900000,20.000000,34.000000,42.000000,45.650000,10.000000,47.000000,unweighted_equal_weights,sex_broad_status
former,female,all,70-80,pack_years_standard,10,10.000000,28.915000,24.554928,8.175000,12.175000,19.750000,40.312500,67.300000,7.500000,88.000000,unweighted_equal_weights,sex_broad_status
former,male,all,50-59,age_at_initiation,12,12.000000,17.583333,4.122187,13.100000,14.750000,17.000000,19.000000,24.450000,12.000000,25.000000,unweighted_equal_weights,sex_broad_status
former,male,all,50-59,age_at_stopping,12,12.000000,33.583333,9.287904,23.100000,24.750000,32.500000,40.000000,45.850000,22.000000,53.000000,unweighted_equal_weights,sex_broad_status
former,male,all,50-59,years_since_quitting,12,12.000000,20.750000,9.836158,6.950000,14.250000,22.000000,29.500000,32.000000,2.000000,32.000000,unweighted_equal_weights,sex_broad_status
former,male,all,50-59,cigarettes_per_day,12,12.000000,16.333333,10.568679,3.200000,9.500000,17.000000,20.000000,33.600000,1.000000,38.000000,unweighted_equal_weights,sex_broad_status
former,male,all,50-59,smoking_duration,12,12.000000,16.000000,9.695360,6.550000,8.750000,15.500000,19.000000,31.100000,6.000000,41.000000,unweighted_equal_weights,sex_broad_status
former,male,all,50-59,pack_years_standard,12,12.000000,14.612500,13.983564,2.120000,3.687500,7.250000,24.850000,36.600000,0.800000,41.000000,unweighted_equal_weights,sex_broad_status
former,male,all,60-69,age_at_initiation,30,30.000000,15.400000,2.883963,10.900000,14.000000,15.500000,17.750000,19.550000,8.000000,21.000000,unweighted_equal_weights,sex_broad_status
